               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.046668,             0.03432,                   0,             0.77403,             0.64961,             0.72771,             0.33318,            0.046726,            0.019269,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.046121,            0.033255,                   0,              0.7519,             0.60709,             0.68813,             0.30605,            0.049379,            0.019515,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.045923,            0.032364,                   0,             0.75454,             0.64771,             0.71284,             0.33202,            0.046894,            0.019497,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.046225,            0.033656,                   0,             0.73952,             0.64988,              0.6999,             0.31687,            0.047797,            0.020389,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.045797,            0.033326,                   0,             0.76709,             0.64907,             0.72224,             0.32989,            0.047338,            0.019287,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.046188,            0.033741,                   0,             0.72437,              0.6476,             0.69455,              0.3114,            0.046947,            0.019581,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.044756,            0.032157,                   0,             0.77609,             0.65881,             0.73514,             0.34023,             0.04633,            0.019377,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.045543,            0.033057,                   0,             0.77083,              0.6645,              0.7354,             0.35138,            0.046008,            0.019299,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,              0.0454,            0.032853,                   0,             0.76842,             0.65232,             0.71629,             0.31994,            0.047363,            0.019452,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.045294,            0.033642,                   0,             0.76654,             0.66148,             0.72419,             0.33204,             0.04577,            0.019199,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.044969,            0.032937,                   0,             0.77666,             0.66196,             0.73408,             0.33761,            0.046041,            0.019377,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.04461,             0.03178,                   0,             0.78835,             0.65659,             0.73644,             0.34742,            0.046455,             0.01906,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.044913,            0.033348,                   0,             0.77173,             0.64555,             0.72233,             0.33644,            0.046329,            0.019136,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.044989,            0.032303,                   0,             0.73852,             0.67506,             0.72413,             0.33426,            0.046072,            0.019446,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.044662,            0.033445,                   0,             0.77555,             0.67648,             0.74032,             0.34724,            0.045541,            0.018997,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.044121,            0.032653,                   0,             0.76198,             0.66661,             0.72913,             0.33862,            0.045834,            0.019057,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.044143,            0.032994,                   0,             0.76697,             0.66288,             0.72481,             0.34836,            0.046112,            0.019115,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.043791,            0.032319,                   0,             0.76746,             0.67994,             0.74247,             0.35563,            0.045508,            0.018844,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.044145,            0.032417,                   0,             0.77712,             0.67127,              0.7338,             0.34993,            0.045119,            0.019021,                   0,            0.005743,            0.005743,            0.005743
